sehir,semt,ev_tipi,oda_sayisi,net_metrekare,brut_metrekare,bina_yasi,bulundugu_kat,kat_sayisi,banyo_sayisi,balkon,isitma_tipi,otopark,site_ici,esyali_durum,fiyat_tl
Denizli,Küçükçekmece,Rezidans,3+1,125,144,0-5,9,8,2,Yok,Kombi,Açık Otopark,Hayır,Eşyalı,598182
İstanbul,Şişli,Daire,3+1,107,119,16-20,10,12,3,Var,Soba,Yok,Evet,Eşyasız,1604197
Diyarbakır,Beşiktaş,Dubleks,5+2,279,313,30+,7,15,5,Yok,Yerden Isıtma,Yok,Evet,Eşyalı,637246
Mersin,Bahçelievler,Müstakil Ev,2+1,230,273,30+,Bahçe Katı,1,2,Var,Doğalgaz,Kapalı Otopark,Evet,Eşyasız,1466834
Adana,Beyoğlu,Rezidans,1+0,152,195,0-5,6,7,1,Yok,Doğalgaz,Var,Hayır,Eşyalı,1106766
İstanbul,Eminönü,Müstakil Ev,5+1,161,194,16-20,Bahçe Katı,2,4,Var,Kombi,Açık Otopark,Hayır,Eşyasız,3009019
Diyarbakır,Merkez,Tripleks,3+1,156,191,16-20,5,10,1,Yok,Soba,Yok,Hayır,Eşyasız,705070
Konya,Şişli,Dubleks,2+1,266,326,16-20,4,5,5,Var,Soba,Var,Evet,Yarı Eşyalı,1459565
İstanbul,Bağcılar,Daire,1+1,55,61,6-10,5,1,4,Var,Klima,Var,Evet,Yarı Eşyalı,1257809
İzmir,Pendik,Daire,4+2,160,178,26-30,8,9,4,Var,Yerden Isıtma,Var,Hayır,Eşyalı,1337352
Adana,Zeytinburnu,Tripleks,4+2,280,339,6-10,11,3,2,Yok,Doğalgaz,Açık Otopark,Evet,Eşyasız,2559003
Ankara,Kartal,Tripleks,1+1,297,330,0-5,2,9,3,Yok,Klima,Açık Otopark,Hayır,Eşyasız,2984969
Denizli,Ataşehir,Villa,4+1,489,576,0-5,Bahçe Katı,1,4,Var,Soba,Yok,Evet,Eşyasız,3600382
Şanlıurfa,Fatih,Dubleks,1+0,183,233,26-30,4,18,1,Yok,Yerden Isıtma,Kapalı Otopark,Evet,Eşyasız,519110
Konya,Zeytinburnu,Rezidans,2+1,162,206,26-30,3,2,5,Yok,Yerden Isıtma,Yok,Hayır,Yarı Eşyalı,573997
Antalya,Bağcılar,Rezidans,5+2,124,160,6-10,10,20,2,Var,Yerden Isıtma,Kapalı Otopark,Hayır,Yarı Eşyalı,1930420
Şanlıurfa,Maltepe,Daire,3+1,136,163,26-30,7,7,5,Yok,Klima,Kapalı Otopark,Hayır,Eşyasız,179809
Kayseri,Beylikdüzü,Villa,5+1,401,504,11-15,Bahçe Katı,1,2,Var,Soba,Açık Otopark,Hayır,Eşyasız,1788536
Konya,Kartal,Müstakil Ev,3+1,180,228,0-5,Bahçe Katı,2,2,Var,Doğalgaz,Açık Otopark,Hayır,Eşyalı,985049
Ankara,Maltepe,Rezidans,2+1,103,121,26-30,4,9,3,Var,Klima,Yok,Hayır,Eşyalı,845873
Gaziantep,Şişli,Villa,3+1,386,460,11-15,Bahçe Katı,2,3,Yok,Merkezi,Var,Hayır,Eşyalı,1953900
İzmir,Beşiktaş,Daire,1+1,74,86,21-25,5,10,5,Yok,Klima,Kapalı Otopark,Evet,Eşyalı,741652
Bursa,Şişli,Rezidans,4+1,176,201,0-5,15,12,1,Var,Soba,Var,Evet,Eşyasız,1441243
Kayseri,Şişli,Müstakil Ev,4+2,193,219,21-25,Bahçe Katı,3,4,Var,Merkezi,Açık Otopark,Evet,Eşyasız,696000
Kayseri,Eminönü,Dubleks,5+1,345,424,30+,2,12,2,Var,Doğalgaz,Açık Otopark,Hayır,Eşyalı,845635
Eskişehir,Beşiktaş,Tripleks,3+1,221,264,21-25,3,8,1,Yok,Klima,Yok,Hayır,Eşyasız,1506756
İstanbul,Arnavutköy,Tripleks,1+1,185,212,11-15,15,8,4,Yok,Kombi,Kapalı Otopark,Evet,Yarı Eşyalı,2382635
Ankara,Maltepe,Rezidans,4+2,83,98,26-30,12,19,4,Var,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,585143
Konya,Pendik,Tripleks,1+1,187,235,30+,2,17,4,Var,Klima,Kapalı Otopark,Evet,Eşyasız,420397
Konya,Beşiktaş,Müstakil Ev,1+0,146,163,6-10,Bahçe Katı,2,1,Var,Yerden Isıtma,Yok,Evet,Eşyasız,605649
Samsun,Çankaya,Villa,5+2,284,344,30+,Bahçe Katı,3,5,Yok,Soba,Yok,Evet,Eşyalı,1655799
Gaziantep,Beşiktaş,Müstakil Ev,4+1,156,183,30+,Bahçe Katı,2,5,Yok,Klima,Açık Otopark,Hayır,Eşyalı,240020
Ankara,Pendik,Daire,4+1,193,222,11-15,7,1,4,Var,Klima,Yok,Evet,Yarı Eşyalı,2522537
Ankara,Çatalca,Müstakil Ev,5+1,163,196,30+,Bahçe Katı,2,5,Yok,Klima,Kapalı Otopark,Hayır,Yarı Eşyalı,1028205
Şanlıurfa,Fatih,Rezidans,2+1,231,264,11-15,6,16,4,Yok,Yerden Isıtma,Yok,Hayır,Eşyasız,707996
Diyarbakır,Büyükçekmece,Daire,1+0,68,82,21-25,5,18,1,Yok,Doğalgaz,Kapalı Otopark,Evet,Yarı Eşyalı,113709
Samsun,Bakırköy,Rezidans,1+0,114,137,30+,9,14,5,Yok,Klima,Var,Hayır,Eşyalı,314342
Şanlıurfa,Bahçelievler,Daire,5+2,221,280,30+,3,3,1,Var,Soba,Kapalı Otopark,Evet,Eşyasız,275329
Bursa,Büyükçekmece,Müstakil Ev,1+1,254,280,30+,Bahçe Katı,1,3,Yok,Soba,Kapalı Otopark,Evet,Yarı Eşyalı,1329153
Eskişehir,Kartal,Müstakil Ev,4+2,215,246,6-10,Bahçe Katı,2,2,Yok,Klima,Kapalı Otopark,Evet,Eşyasız,2033440
Eskişehir,Bağcılar,Müstakil Ev,5+2,177,211,30+,Bahçe Katı,2,5,Yok,Yerden Isıtma,Yok,Hayır,Eşyalı,503842
Denizli,Arnavutköy,Tripleks,4+1,257,306,21-25,14,2,1,Yok,Merkezi,Yok,Evet,Eşyasız,1298759
İzmir,Küçükçekmece,Müstakil Ev,4+2,203,258,6-10,Bahçe Katı,3,4,Yok,Merkezi,Var,Evet,Eşyalı,4571377
Adana,Maltepe,Daire,5+2,180,200,11-15,13,3,3,Var,Kombi,Kapalı Otopark,Evet,Eşyasız,1090871
Şanlıurfa,Ataşehir,Villa,5+1,235,291,6-10,Bahçe Katı,3,5,Yok,Klima,Yok,Hayır,Eşyalı,1275583
Bursa,Üsküdar,Rezidans,4+2,122,134,0-5,9,12,2,Var,Klima,Yok,Evet,Eşyasız,1530267
Mersin,Küçükçekmece,Dubleks,5+2,198,235,21-25,3,13,3,Var,Yerden Isıtma,Yok,Evet,Eşyasız,787238
Ankara,Fatih,Daire,4+2,143,185,6-10,14,8,1,Yok,Merkezi,Kapalı Otopark,Evet,Yarı Eşyalı,1512356
Eskişehir,Bakırköy,Daire,2+1,113,124,21-25,15,7,1,Var,Klima,Var,Evet,Yarı Eşyalı,679739
Antalya,Bakırköy,Dubleks,4+2,277,356,30+,8,15,2,Yok,Merkezi,Açık Otopark,Hayır,Eşyasız,1968690
Kayseri,Çankaya,Villa,4+1,458,513,11-15,Bahçe Katı,3,3,Var,Merkezi,Var,Evet,Eşyalı,2122478
Kayseri,Ataşehir,Müstakil Ev,3+1,180,227,21-25,Bahçe Katı,3,2,Var,Yerden Isıtma,Yok,Evet,Yarı Eşyalı,1113510
Adana,Silivri,Rezidans,1+1,159,205,21-25,6,11,1,Yok,Doğalgaz,Yok,Hayır,Eşyasız,336914
Samsun,Bakırköy,Daire,4+2,168,194,0-5,6,4,3,Yok,Soba,Açık Otopark,Hayır,Eşyalı,590468
Gaziantep,Pendik,Tripleks,3+1,338,438,26-30,3,15,5,Yok,Kombi,Var,Evet,Yarı Eşyalı,1149885
Adana,Fatih,Villa,5+1,285,351,6-10,Bahçe Katı,1,3,Var,Klima,Açık Otopark,Evet,Eşyalı,2251491
Bursa,Eminönü,Tripleks,1+1,301,371,30+,12,19,3,Yok,Doğalgaz,Açık Otopark,Hayır,Yarı Eşyalı,1726642
Diyarbakır,Avcılar,Müstakil Ev,5+1,220,270,11-15,Bahçe Katı,2,4,Yok,Merkezi,Yok,Evet,Yarı Eşyalı,545393
Adana,Şişli,Müstakil Ev,2+1,254,298,21-25,Bahçe Katı,2,3,Yok,Klima,Var,Evet,Yarı Eşyalı,1841038
Kayseri,Silivri,Müstakil Ev,1+0,151,193,11-15,Bahçe Katı,2,4,Var,Yerden Isıtma,Yok,Hayır,Eşyasız,529781
Adana,Çankaya,Rezidans,2+1,208,257,0-5,13,10,1,Yok,Klima,Var,Hayır,Eşyalı,1229132
İstanbul,Silivri,Villa,1+1,411,460,26-30,Bahçe Katı,2,1,Yok,Soba,Yok,Evet,Eşyasız,10613397
Adana,Şişli,Dubleks,5+1,223,274,26-30,9,7,2,Yok,Klima,Kapalı Otopark,Evet,Eşyasız,1266000
Şanlıurfa,Bahçelievler,Tripleks,1+1,238,278,16-20,2,11,3,Yok,Yerden Isıtma,Açık Otopark,Evet,Eşyasız,886612
Şanlıurfa,Pendik,Daire,3+1,126,162,6-10,7,9,4,Var,Merkezi,Kapalı Otopark,Hayır,Eşyalı,468188
Şanlıurfa,Beşiktaş,Villa,3+1,500,583,6-10,Bahçe Katı,1,2,Yok,Merkezi,Var,Evet,Eşyasız,2509187
Kayseri,Üsküdar,Daire,2+1,111,137,21-25,8,10,5,Yok,Soba,Açık Otopark,Hayır,Yarı Eşyalı,366403
Mersin,Büyükçekmece,Tripleks,4+2,339,386,21-25,7,8,1,Yok,Kombi,Açık Otopark,Evet,Eşyasız,2493536
Şanlıurfa,Şişli,Villa,5+1,488,608,16-20,Bahçe Katı,2,2,Var,Doğalgaz,Var,Evet,Eşyasız,1851249
Diyarbakır,Merkez,Daire,5+2,229,261,0-5,13,20,1,Yok,Kombi,Açık Otopark,Evet,Yarı Eşyalı,920619
Samsun,Bahçelievler,Daire,4+2,190,214,6-10,1,14,2,Yok,Klima,Açık Otopark,Evet,Yarı Eşyalı,1282604
Adana,Bahçelievler,Tripleks,4+1,192,240,21-25,5,3,1,Yok,Doğalgaz,Var,Evet,Yarı Eşyalı,704312
Antalya,Üsküdar,Müstakil Ev,2+1,233,270,26-30,Bahçe Katı,2,2,Yok,Kombi,Yok,Hayır,Eşyasız,1494712
Diyarbakır,Üsküdar,Daire,3+1,153,198,0-5,11,14,5,Yok,Soba,Açık Otopark,Evet,Yarı Eşyalı,400009
Şanlıurfa,Büyükçekmece,Rezidans,1+1,106,118,6-10,9,3,4,Yok,Soba,Var,Evet,Yarı Eşyalı,386999
Antalya,Bahçelievler,Rezidans,4+1,202,229,0-5,11,8,2,Yok,Merkezi,Kapalı Otopark,Hayır,Eşyalı,2427223
Konya,Küçükçekmece,Daire,2+1,112,138,11-15,1,8,4,Yok,Kombi,Kapalı Otopark,Evet,Yarı Eşyalı,685539
İzmir,Çatalca,Müstakil Ev,5+1,152,192,16-20,Bahçe Katı,3,3,Yok,Klima,Var,Hayır,Eşyalı,2613372
Diyarbakır,Kartal,Daire,5+1,231,277,21-25,1,15,1,Var,Yerden Isıtma,Açık Otopark,Hayır,Eşyalı,575472
Bursa,Beylikdüzü,Tripleks,1+1,278,325,30+,12,20,5,Var,Soba,Yok,Evet,Yarı Eşyalı,860444
Kayseri,Zeytinburnu,Dubleks,5+2,255,294,0-5,4,13,1,Yok,Merkezi,Açık Otopark,Hayır,Eşyasız,1011949
İzmir,Üsküdar,Rezidans,4+2,107,135,26-30,6,9,5,Var,Kombi,Kapalı Otopark,Hayır,Yarı Eşyalı,1007901
Denizli,Arnavutköy,Müstakil Ev,5+1,237,283,30+,Bahçe Katı,2,4,Var,Yerden Isıtma,Yok,Hayır,Eşyasız,787978
Diyarbakır,Çankaya,Rezidans,1+1,174,212,26-30,7,15,5,Var,Kombi,Yok,Hayır,Yarı Eşyalı,613932
İstanbul,Kadıköy,Tripleks,4+1,172,194,16-20,1,14,4,Var,Soba,Kapalı Otopark,Evet,Eşyasız,1875164
Mersin,Çankaya,Dubleks,2+1,150,185,0-5,15,8,2,Var,Doğalgaz,Yok,Evet,Yarı Eşyalı,1500165
Konya,Bakırköy,Villa,5+2,283,364,6-10,Bahçe Katı,3,4,Var,Merkezi,Kapalı Otopark,Evet,Eşyasız,1960559
Konya,Büyükçekmece,Daire,1+0,67,79,30+,6,16,3,Var,Soba,Açık Otopark,Hayır,Eşyasız,91592
Denizli,Zeytinburnu,Villa,3+1,238,280,26-30,Bahçe Katı,3,1,Yok,Merkezi,Açık Otopark,Hayır,Yarı Eşyalı,1580906
İstanbul,Bağcılar,Tripleks,4+2,286,321,30+,3,11,2,Var,Kombi,Yok,Hayır,Eşyasız,2124155
Konya,Eminönü,Daire,1+0,65,78,11-15,1,3,3,Yok,Doğalgaz,Kapalı Otopark,Hayır,Yarı Eşyalı,132719
Şanlıurfa,Avcılar,Rezidans,1+0,88,104,21-25,9,11,3,Yok,Klima,Yok,Hayır,Yarı Eşyalı,219576
Gaziantep,Avcılar,Villa,1+0,483,589,0-5,Bahçe Katı,1,1,Yok,Soba,Açık Otopark,Hayır,Eşyalı,3728894
Antalya,Merkez,Müstakil Ev,4+1,152,195,21-25,Bahçe Katı,3,3,Var,Merkezi,Var,Evet,Eşyalı,3331644
İstanbul,Beyoğlu,Müstakil Ev,4+1,123,149,6-10,Bahçe Katı,3,5,Yok,Doğalgaz,Yok,Hayır,Yarı Eşyalı,2816759
Denizli,Avcılar,Daire,3+1,148,185,6-10,9,18,4,Yok,Klima,Açık Otopark,Hayır,Eşyalı,982416
İzmir,Arnavutköy,Tripleks,5+1,168,214,30+,14,10,1,Var,Soba,Açık Otopark,Evet,Yarı Eşyalı,1301761
Diyarbakır,Büyükçekmece,Villa,1+0,470,526,6-10,Bahçe Katı,2,2,Var,Yerden Isıtma,Yok,Hayır,Yarı Eşyalı,1415392
Gaziantep,Kartal,Tripleks,2+1,151,180,11-15,15,10,5,Var,Soba,Kapalı Otopark,Evet,Eşyalı,708422
Ankara,Fatih,Tripleks,4+2,164,191,30+,8,13,4,Yok,Doğalgaz,Yok,Evet,Eşyalı,1356631
İzmir,Eminönü,Dubleks,5+1,262,302,11-15,9,20,2,Var,Yerden Isıtma,Var,Evet,Eşyasız,1876379
Mersin,Fatih,Daire,2+1,87,108,16-20,11,6,4,Yok,Merkezi,Açık Otopark,Evet,Eşyalı,664204
Denizli,Bakırköy,Dubleks,4+1,328,384,26-30,12,10,3,Var,Klima,Kapalı Otopark,Evet,Eşyasız,1146311
Samsun,Pendik,Rezidans,2+1,162,182,16-20,11,20,5,Var,Yerden Isıtma,Var,Hayır,Eşyalı,902086
Ankara,Ataşehir,Rezidans,4+2,201,257,30+,4,18,3,Var,Merkezi,Açık Otopark,Hayır,Eşyasız,1336521
İstanbul,Büyükçekmece,Müstakil Ev,1+0,289,341,30+,Bahçe Katı,3,1,Var,Soba,Yok,Evet,Yarı Eşyalı,2944220
Diyarbakır,Çankaya,Villa,5+2,363,436,16-20,Bahçe Katı,1,2,Yok,Yerden Isıtma,Kapalı Otopark,Hayır,Eşyalı,2280673
Samsun,Beylikdüzü,Tripleks,2+1,212,245,11-15,3,9,3,Yok,Doğalgaz,Kapalı Otopark,Evet,Eşyasız,1933777
Diyarbakır,Fatih,Tripleks,2+1,253,288,21-25,1,7,2,Yok,Yerden Isıtma,Yok,Hayır,Eşyalı,835517
Diyarbakır,Silivri,Dubleks,2+1,333,428,21-25,15,13,5,Yok,Yerden Isıtma,Kapalı Otopark,Hayır,Eşyasız,1339377
Şanlıurfa,Beyoğlu,Rezidans,5+2,86,98,21-25,6,9,4,Yok,Yerden Isıtma,Yok,Hayır,Yarı Eşyalı,148596
Antalya,Kadıköy,Tripleks,2+1,195,242,11-15,2,6,2,Var,Soba,Var,Hayır,Eşyalı,2756588
Bursa,Arnavutköy,Daire,5+1,215,251,11-15,2,18,5,Var,Merkezi,Yok,Evet,Eşyasız,1861527
Antalya,Bağcılar,Dubleks,3+1,157,179,6-10,9,5,4,Yok,Kombi,Kapalı Otopark,Hayır,Yarı Eşyalı,1388511
Kayseri,Beylikdüzü,Dubleks,5+1,263,294,30+,13,17,5,Yok,Yerden Isıtma,Yok,Evet,Eşyalı,565515
Adana,Çankaya,Tripleks,4+2,194,246,16-20,15,18,3,Yok,Merkezi,Yok,Hayır,Eşyasız,1047095
Mersin,Beylikdüzü,Villa,3+1,210,255,30+,Bahçe Katı,2,5,Yok,Kombi,Kapalı Otopark,Hayır,Eşyasız,1584661
Gaziantep,Beyoğlu,Daire,4+2,152,174,30+,9,10,4,Var,Doğalgaz,Açık Otopark,Evet,Yarı Eşyalı,438170
Mersin,Merkez,Villa,3+1,407,473,0-5,Bahçe Katı,3,3,Yok,Merkezi,Var,Evet,Eşyasız,5935345
Denizli,Büyükçekmece,Rezidans,3+1,88,100,0-5,1,4,4,Yok,Kombi,Açık Otopark,Hayır,Eşyalı,779897
Mersin,Maltepe,Müstakil Ev,5+1,198,220,30+,Bahçe Katı,1,5,Yok,Klima,Açık Otopark,Evet,Eşyalı,1302664
Samsun,Kadıköy,Rezidans,1+0,210,244,16-20,2,2,4,Yok,Yerden Isıtma,Var,Evet,Eşyalı,1601314
Bursa,Bakırköy,Tripleks,1+0,313,350,11-15,10,11,2,Var,Yerden Isıtma,Açık Otopark,Evet,Eşyasız,2544367
Gaziantep,Bahçelievler,Rezidans,5+2,219,264,11-15,8,8,2,Var,Klima,Kapalı Otopark,Evet,Eşyalı,1691823
Şanlıurfa,Beyoğlu,Tripleks,3+1,238,274,11-15,14,1,4,Var,Doğalgaz,Var,Hayır,Eşyalı,1040557
İzmir,Kartal,Rezidans,1+0,168,206,26-30,1,14,4,Yok,Doğalgaz,Kapalı Otopark,Hayır,Eşyalı,1908077
Samsun,Kadıköy,Dubleks,1+1,215,256,30+,6,12,3,Var,Kombi,Yok,Hayır,Yarı Eşyalı,429393
Samsun,Şişli,Tripleks,1+1,241,302,6-10,1,17,5,Yok,Kombi,Var,Hayır,Eşyasız,1517126
Denizli,Şişli,Dubleks,4+2,192,224,0-5,14,11,1,Yok,Yerden Isıtma,Yok,Evet,Eşyasız,1597415
Antalya,Küçükçekmece,Müstakil Ev,3+1,133,152,26-30,Bahçe Katı,1,3,Var,Yerden Isıtma,Yok,Hayır,Eşyasız,1732468
Samsun,Kartal,Tripleks,3+1,279,360,11-15,1,8,4,Yok,Merkezi,Kapalı Otopark,Evet,Yarı Eşyalı,1786876
Denizli,Arnavutköy,Tripleks,5+1,338,407,6-10,4,1,5,Yok,Yerden Isıtma,Kapalı Otopark,Evet,Eşyasız,2286510
Denizli,Üsküdar,Tripleks,1+0,281,327,0-5,6,2,3,Yok,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,902031
Mersin,Üsküdar,Villa,5+2,449,509,0-5,Bahçe Katı,3,1,Yok,Merkezi,Kapalı Otopark,Hayır,Eşyasız,4636687
Ankara,Çatalca,Daire,5+2,195,233,11-15,14,1,1,Var,Yerden Isıtma,Kapalı Otopark,Hayır,Eşyasız,1763015
Diyarbakır,Maltepe,Tripleks,4+2,234,288,16-20,13,7,4,Yok,Merkezi,Açık Otopark,Hayır,Eşyasız,1378869
Antalya,Bahçelievler,Dubleks,1+0,346,400,30+,8,9,1,Var,Doğalgaz,Var,Evet,Eşyalı,3359852
Mersin,Büyükçekmece,Villa,5+1,267,335,26-30,Bahçe Katı,3,3,Var,Merkezi,Yok,Evet,Eşyasız,985389
Gaziantep,Küçükçekmece,Rezidans,5+1,203,262,11-15,3,14,4,Yok,Soba,Var,Evet,Yarı Eşyalı,1449454
Gaziantep,Fatih,Tripleks,1+1,267,310,11-15,14,18,1,Var,Merkezi,Yok,Hayır,Eşyasız,2039298
Denizli,Eminönü,Villa,3+1,205,234,21-25,Bahçe Katı,2,2,Yok,Kombi,Açık Otopark,Evet,Yarı Eşyalı,1407558
Antalya,Şişli,Tripleks,5+2,210,243,30+,1,3,1,Yok,Soba,Açık Otopark,Hayır,Eşyasız,2666722
Konya,Beyoğlu,Rezidans,5+2,198,219,30+,10,20,1,Yok,Klima,Var,Hayır,Eşyasız,769963
Denizli,Ataşehir,Tripleks,5+2,265,303,16-20,2,2,2,Yok,Doğalgaz,Kapalı Otopark,Hayır,Eşyalı,1699666
Şanlıurfa,Arnavutköy,Tripleks,1+1,163,196,26-30,1,10,1,Yok,Merkezi,Açık Otopark,Hayır,Eşyalı,243674
Şanlıurfa,Şişli,Daire,5+2,264,314,0-5,11,14,5,Var,Klima,Kapalı Otopark,Hayır,Eşyalı,673366
Samsun,Beşiktaş,Daire,1+0,61,73,11-15,8,18,4,Yok,Doğalgaz,Yok,Hayır,Eşyasız,375300
Mersin,Beşiktaş,Tripleks,2+1,347,422,0-5,3,16,5,Yok,Yerden Isıtma,Yok,Hayır,Yarı Eşyalı,4362393
Kayseri,Bahçelievler,Daire,4+1,146,181,11-15,11,18,3,Yok,Kombi,Açık Otopark,Evet,Eşyalı,740448
Konya,Bakırköy,Villa,1+1,471,548,21-25,Bahçe Katı,2,4,Var,Klima,Var,Hayır,Yarı Eşyalı,3332627
Diyarbakır,Kadıköy,Müstakil Ev,4+1,120,132,26-30,Bahçe Katı,3,3,Var,Klima,Kapalı Otopark,Hayır,Eşyalı,276259
Ankara,Çankaya,Rezidans,4+2,159,205,0-5,8,20,4,Var,Soba,Açık Otopark,Evet,Eşyalı,2324317
Şanlıurfa,Ataşehir,Rezidans,4+1,119,141,6-10,12,9,3,Yok,Soba,Yok,Hayır,Eşyalı,576168
Kayseri,Fatih,Rezidans,3+1,185,218,30+,15,11,3,Yok,Yerden Isıtma,Kapalı Otopark,Hayır,Yarı Eşyalı,638851
Diyarbakır,Kartal,Rezidans,5+2,97,124,30+,12,11,2,Var,Merkezi,Var,Hayır,Yarı Eşyalı,325390
Mersin,Ataşehir,Villa,4+2,201,251,0-5,Bahçe Katı,2,3,Var,Yerden Isıtma,Var,Hayır,Eşyalı,2992130
Gaziantep,Çankaya,Daire,4+1,147,167,0-5,7,13,4,Yok,Merkezi,Yok,Hayır,Eşyalı,811464
Şanlıurfa,Zeytinburnu,Tripleks,5+2,176,209,6-10,12,11,1,Yok,Merkezi,Yok,Hayır,Eşyalı,793126
İstanbul,Çatalca,Müstakil Ev,3+1,251,303,0-5,Bahçe Katı,2,4,Yok,Klima,Yok,Evet,Eşyasız,3875680
Bursa,Kartal,Daire,4+2,180,233,6-10,10,3,3,Yok,Klima,Kapalı Otopark,Hayır,Eşyalı,1024454
Bursa,Bahçelievler,Dubleks,2+1,317,351,6-10,7,20,1,Yok,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,3696120
Eskişehir,Şişli,Dubleks,1+1,210,241,26-30,10,16,2,Var,Kombi,Yok,Evet,Yarı Eşyalı,911028
Gaziantep,Ataşehir,Müstakil Ev,1+0,203,232,26-30,Bahçe Katı,1,3,Var,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,648117
Diyarbakır,Şişli,Tripleks,4+2,168,200,26-30,1,12,5,Var,Kombi,Var,Hayır,Eşyasız,382252
Gaziantep,Zeytinburnu,Tripleks,4+2,225,263,30+,6,5,4,Var,Merkezi,Var,Evet,Eşyasız,427890
Eskişehir,Bağcılar,Dubleks,1+0,243,314,6-10,10,12,1,Yok,Soba,Açık Otopark,Hayır,Eşyasız,1002214
Adana,Silivri,Tripleks,4+2,317,359,11-15,9,13,5,Var,Klima,Yok,Hayır,Eşyasız,1040944
İzmir,Ataşehir,Rezidans,5+1,96,112,16-20,13,19,4,Yok,Doğalgaz,Yok,Hayır,Yarı Eşyalı,689643
Ankara,Şişli,Dubleks,3+1,218,273,11-15,13,11,5,Var,Yerden Isıtma,Var,Hayır,Eşyasız,2455554
Bursa,Bakırköy,Daire,4+2,157,194,0-5,6,5,4,Yok,Kombi,Yok,Evet,Eşyalı,1974658
Şanlıurfa,Zeytinburnu,Daire,1+1,45,50,21-25,12,4,2,Yok,Doğalgaz,Kapalı Otopark,Evet,Yarı Eşyalı,143038
Bursa,Kartal,Dubleks,4+1,291,358,30+,11,4,2,Yok,Soba,Var,Hayır,Yarı Eşyalı,1178463
Mersin,Merkez,Müstakil Ev,1+0,204,259,21-25,Bahçe Katı,1,5,Var,Merkezi,Var,Evet,Eşyalı,1177320
Adana,Çankaya,Tripleks,1+1,327,406,0-5,6,13,2,Yok,Yerden Isıtma,Açık Otopark,Evet,Yarı Eşyalı,1746485
Antalya,Beşiktaş,Daire,4+2,184,217,11-15,7,1,2,Var,Kombi,Kapalı Otopark,Hayır,Eşyasız,3159302
İzmir,Eminönü,Daire,2+1,115,142,26-30,6,19,5,Var,Klima,Yok,Evet,Eşyasız,1135282
Mersin,Beylikdüzü,Müstakil Ev,5+1,273,304,6-10,Bahçe Katı,2,1,Var,Doğalgaz,Yok,Evet,Eşyalı,2888238
Gaziantep,Bağcılar,Dubleks,5+1,276,343,30+,2,14,4,Yok,Klima,Var,Evet,Eşyalı,798332
Adana,Çankaya,Müstakil Ev,3+1,248,301,30+,Bahçe Katı,2,3,Var,Klima,Kapalı Otopark,Hayır,Eşyalı,990741
Diyarbakır,Çatalca,Tripleks,5+1,198,249,6-10,13,5,2,Var,Klima,Yok,Hayır,Yarı Eşyalı,1521566
Konya,Bahçelievler,Müstakil Ev,1+1,167,197,6-10,Bahçe Katı,3,5,Yok,Merkezi,Açık Otopark,Hayır,Eşyasız,1001395
Diyarbakır,Merkez,Rezidans,5+1,209,238,6-10,5,2,5,Var,Merkezi,Kapalı Otopark,Hayır,Eşyalı,1103040
Mersin,Bağcılar,Tripleks,1+1,300,340,16-20,10,13,3,Yok,Soba,Yok,Evet,Eşyasız,2493129
Samsun,Üsküdar,Dubleks,4+2,326,369,6-10,7,18,2,Var,Kombi,Açık Otopark,Hayır,Eşyalı,2583620
Antalya,Küçükçekmece,Rezidans,5+1,166,203,16-20,14,18,1,Var,Kombi,Var,Evet,Eşyasız,2399094
İstanbul,Bakırköy,Villa,4+1,385,490,0-5,Bahçe Katı,1,4,Yok,Merkezi,Açık Otopark,Evet,Eşyasız,14085641
Şanlıurfa,Büyükçekmece,Müstakil Ev,3+1,279,310,26-30,Bahçe Katı,1,2,Var,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,1113374
Denizli,Avcılar,Rezidans,1+0,188,222,16-20,12,9,4,Yok,Yerden Isıtma,Yok,Evet,Yarı Eşyalı,1104866
Denizli,Çankaya,Müstakil Ev,1+0,261,299,11-15,Bahçe Katı,1,4,Var,Klima,Var,Evet,Yarı Eşyalı,1705830
Konya,Küçükçekmece,Müstakil Ev,3+1,168,213,26-30,Bahçe Katı,2,2,Var,Merkezi,Yok,Evet,Yarı Eşyalı,450656
Adana,Fatih,Dubleks,5+2,347,394,16-20,5,12,4,Yok,Doğalgaz,Yok,Evet,Yarı Eşyalı,2869270
Adana,Şişli,Daire,1+1,63,75,16-20,1,8,4,Var,Soba,Yok,Hayır,Yarı Eşyalı,387356
Denizli,Eminönü,Müstakil Ev,2+1,124,155,30+,Bahçe Katı,3,3,Yok,Merkezi,Yok,Hayır,Yarı Eşyalı,405240
Konya,Fatih,Daire,4+2,176,218,26-30,14,8,5,Var,Soba,Kapalı Otopark,Evet,Eşyalı,626359
Şanlıurfa,Ataşehir,Müstakil Ev,4+2,140,177,26-30,Bahçe Katı,3,4,Yok,Klima,Açık Otopark,Hayır,Yarı Eşyalı,406641
Samsun,Avcılar,Tripleks,4+2,205,254,26-30,15,3,2,Yok,Soba,Kapalı Otopark,Hayır,Yarı Eşyalı,553882
